City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
537,Sao Felix Do Xingu,BR,-6.6447,-51.995,299.17,72,57,1.37,broken clouds
538,Enshi,CN,30.3,109.4833,292.71,91,84,0.36,broken clouds
539,Quelimane,MZ,-17.8786,36.8883,292.33,97,100,1.79,moderate rain
540,Arman,RU,59.7,150.1667,284.72,73,100,2.81,light rain
541,Sao Mateus,BR,-18.7161,-39.8589,292.53,73,25,1.95,scattered clouds
542,Omsukchan,RU,62.5333,155.8,282.54,51,0,5.49,clear sky
543,Namibe,AO,-15.1961,12.1522,295.86,60,10,2.05,clear sky
544,Dawlatabad,AF,36.4141,64.9053,298.96,16,0,0.38,clear sky
545,Sukhobezvodnoye,RU,57.0491,44.8891,284.56,96,100,2.74,light rain
546,Ostend,BE,51.2234,2.9119,287.54,80,20,3.09,few clouds
547,San Luis,AR,-33.295,-66.3356,289.35,32,0,1.89,clear sky
548,Hot Springs,US,34.5037,-93.0552,303.88,68,45,3.58,scattered clouds
549,Nelson Bay,AU,-32.7167,152.15,283.2,74,0,9.08,clear sky
550,Kamenka,RU,51.3223,42.7678,284.75,92,0,3.9,clear sky
551,Nata,PA,8.3333,-80.5167,301.08,86,100,6.27,overcast clouds
552,Bayangol,RU,50.6977,103.4656,277.93,90,100,3.57,overcast clouds
553,Nanyang,CN,32.9947,112.5328,297.08,30,100,5.29,overcast clouds
554,Buala,SB,-8.145,159.5921,300.26,82,26,3.99,scattered clouds
555,Taltal,CL,-25.4,-70.4833,293.28,58,0,1.89,clear sky
556,Boa Vista,BR,2.8197,-60.6733,302.14,61,40,1.54,scattered clouds
557,Tan An,VN,10.5333,106.4167,300.16,92,100,1.86,overcast clouds
558,Cabedelo,BR,-6.9811,-34.8339,298.2,84,9,5.8,clear sky
559,Kaohsiung,TW,22.6163,120.3133,300.12,95,75,2.57,very heavy rain
560,Asau,RO,46.4333,26.4,288.86,96,30,1.9,scattered clouds
561,Kavieng,PG,-2.5744,150.7967,301.1,77,26,4.94,light rain
562,Tieli,CN,46.95,128.05,284.57,82,100,2.4,overcast clouds
563,Bonavista,CA,48.6499,-53.1147,278.53,82,70,3.64,broken clouds
564,Aktash,RU,50.3,87.7333,271.77,79,12,0.46,few clouds
565,Shimoda,JP,34.6667,138.95,289.87,86,98,5.04,overcast clouds
566,Sidrolandia,BR,-20.9319,-54.9614,298.96,39,82,2.01,broken clouds
567,Northam,GB,51.0333,-4.2167,288.52,87,69,0.58,broken clouds
568,Gunnedah,AU,-30.9833,150.25,276.97,93,4,2.59,clear sky
569,Kiama,AU,-34.6833,150.8667,284.03,65,5,10.28,clear sky
570,Aykhal,RU,66.0,111.5,279.19,88,11,1.76,few clouds
