City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Sao Mateus,BR,292.53,scattered clouds,-18.7161,-39.8589,
542,Omsukchan,RU,282.54,clear sky,62.5333,155.8,
543,Namibe,AO,295.86,clear sky,-15.1961,12.1522,
544,Dawlatabad,AF,298.96,clear sky,36.4141,64.9053,
545,Sukhobezvodnoye,RU,284.56,light rain,57.0491,44.8891,
546,Ostend,BE,287.54,few clouds,51.2234,2.9119,
547,San Luis,AR,289.35,clear sky,-33.295,-66.3356,
549,Nelson Bay,AU,283.2,clear sky,-32.7167,152.15,
550,Kamenka,RU,284.75,clear sky,51.3223,42.7678,
552,Bayangol,RU,277.93,overcast clouds,50.6977,103.4656,
553,Nanyang,CN,297.08,overcast clouds,32.9947,112.5328,
555,Taltal,CL,293.28,clear sky,-25.4,-70.4833,
558,Cabedelo,BR,298.2,clear sky,-6.9811,-34.8339,
560,Asau,RO,288.86,scattered clouds,46.4333,26.4,
562,Tieli,CN,284.57,overcast clouds,46.95,128.05,
563,Bonavista,CA,278.53,broken clouds,48.6499,-53.1147,
564,Aktash,RU,271.77,few clouds,50.3,87.7333,
565,Shimoda,JP,289.87,overcast clouds,34.6667,138.95,
566,Sidrolandia,BR,298.96,broken clouds,-20.9319,-54.9614,
567,Northam,GB,288.52,broken clouds,51.0333,-4.2167,
568,Gunnedah,AU,276.97,clear sky,-30.9833,150.25,
569,Kiama,AU,284.03,clear sky,-34.6833,150.8667,
570,Aykhal,RU,279.19,few clouds,66.0,111.5,
